address,decorated
0x004731F0,__imp__InitializeCriticalSectionAndSpinCount@8
0x004731F4,__imp__TlsAlloc@0
0x004731F8,__imp__TlsGetValue@4
0x004731FC,KERNEL32_NULL_THUNK_DATA
0x00473200,__imp__ShellExecuteA@24
0x00473204,SHELL32_NULL_THUNK_DATA
0x00473208,__imp__GetWindowTextA@12
0x0047320C,__imp__SystemParametersInfoA@16
0x00473210,__imp__PostMessageA@16
0x00473214,__imp__LoadImageA@24
0x00473218,__imp__ClientToScreen@8
0x0047321C,__imp__GetClientRect@8
0x00473220,__imp__RedrawWindow@16
0x00473224,__imp__DrawMenuBar@4
0x00473228,__imp__GetDesktopWindow@0
0x0047322C,__imp__SetWindowTextA@8
0x00473230,__imp__GetForegroundWindow@0
0x00473234,__imp__EnableWindow@8
0x00473238,__imp__GetDlgItem@8
0x0047323C,__imp__wsprintfA
0x00473240,__imp__LoadIconA@8
0x00473244,__imp__LoadCursorA@8
0x00473248,__imp__SetWindowLongA@12
0x0047324C,__imp__GetWindowLongA@8
0x00473250,__imp__SetRect@20
0x00473254,__imp__SetCursor@4
0x00473258,__imp__MessageBoxA@16
0x0047325C,__imp__AdjustWindowRectEx@16
0x00473260,__imp__GetWindowRect@8
0x00473264,__imp__UpdateWindow@4
0x00473268,__imp__GetMenu@4
0x0047326C,__imp__GetSystemMetrics@4
0x00473270,__imp__TranslateAcceleratorA@12
0x00473274,__imp__LoadAcceleratorsA@8
0x00473278,__imp__EndDialog@8
0x0047327C,__imp__DialogBoxParamA@20
0x00473280,__imp__SetWindowPos@28
0x00473284,__imp__DestroyWindow@4
0x00473288,__imp__CreateWindowExA@48
0x0047328C,__imp__RegisterClassA@4
0x00473290,__imp__PostQuitMessage@4
0x00473294,__imp__DefWindowProcA@16
0x00473298,__imp__SendMessageA@16
0x0047329C,__imp__PeekMessageA@20
0x004732A0,__imp__DispatchMessageA@4
0x004732A4,__imp__TranslateMessage@4
0x004732A8,__imp__GetMessageA@16
0x004732AC,USER32_NULL_THUNK_DATA
0x004732B0,__imp__mciSendStringA@16
0x004732B4,__imp__mmioOpenA@12
0x004732B8,__imp__mmioRead@12
0x004732BC,__imp__mmioAscend@12
0x004732C0,__imp__mmioDescend@16
0x004732C4,__imp__timeGetTime@0
0x004732C8,WINMM_NULL_THUNK_DATA
0x004732CC,__imp__DirectXFileCreate@4
0x004732D0,d3dxof_NULL_THUNK_DATA
0x004732D4,___guard_check_icall_fptr
0x004732D8,___guard_xfg_check_icall_fptr
0x004732DC,___xc_a
0x004732E8,___xc_z
0x004732EC,___xi_a
0x004732F8,___acrt_stdio_initializer
0x004732FC,___acrt_tran_sse2_initializer
0x00473300,___acrt_multibyte_initializer
0x00473304,___acrt_fmode_initializer
0x00473308,___xi_z
0x0047330C,___xp_a
0x00473310,___acrt_locale_terminator
0x00473314,___dcrt_console_output_terminator
0x00473318,___acrt_stdio_terminator
0x0047331C,___xp_z
0x00473320,___xt_a
0x00473324,___xt_z
0x00473800,??_7CD3DApplication@@6B@
0x00473834,__real@3a83126f
0x00473838,__real@3f000000
0x0047383C,__real@3f800000
0x00473840,__xmm@41f00000000000000000000000000000
0x004738AC,__real@00800000
0x004738B0,__real@3dcccccd
0x004738B4,__real@7f7fffff
0x004738B8,__real@bf800000
0x004738BC,__real@00000000
0x004738C0,__real@3ee4f8b580000000
0x004738C8,__real@3f50624de0000000
0x004738D0,__real@40000000
0x004738E0,__xmm@80000000800000008000000080000000
0x004738F4,??_7TextureContainer@@6B@
0x00473954,__real@358637bd
0x00473958,__real@3f847ae140000000
0x00473960,__real@47efffffe0000000
0x004739C8,??_7JNumber@@6B@
0x004739D4,??_7JDInput@@6B@
0x004739DC,??_7JBaseList@@6B@
0x00473A78,??_7JMidiList@@6B@
0x00473A80,??_7JObject3DList@@6B@
0x00473A88,??_7JObject3DBase@@6B@
0x00473AAC,??_7JObject3DX@@6B@
0x00473AD0,??_7JObject3D@@6B@
0x00473AF8,??_7JObject3D_Rect@@6B@
0x00473B24,??_7JObject3D_Shadow@@6B@
0x00473B50,??_7JObject3D_Particle@@6B@
0x00473B78,__real@38d1b717
0x00473B7C,__real@437f0000
0x00473B80,__real@bfc90fdb
0x00473B90,??_7JSound@@6B@
0x00473B98,??_7JSoundList@@6B@
0x00473B9C,__real@42c80000
0x00473BA0,__real@461c4000
0x00473BA8,??_7JSprite@@6B@
0x00473BBC,??_7JString@@6B@
0x00473BD0,??_7JStringList@@6B@
0x00473BD8,??_7JSurface@@6B@
0x00473BE0,??_7JSurfaceList@@6B@
0x00473BE8,??_7JWinReg@@6B@
0x00473CF8,??_7XFPSDisplay@@6B@
0x00473D00,??_7XApplication@@6B@
0x00473D38,__real@3f3ba866
0x00473D3C,__real@3f400000
0x00473D40,__real@3f451eb8
0x00473D44,__real@41200000
0x00473D48,__real@44fa0000
0x00473D50,??_7XCrystalList@@6B@
0x00473D58,??_7XCrystal@@6B@
0x00473D7C,??_7XParticleList@@6B@
0x00473D84,??_7XParticleBase@@6B@
0x00473DB4,??_7XParticle_EnemyExplode@@6B@
0x00473DE4,??_7XParticle_EnemyFireSmokePurple@@6B@
0x00473E14,??_7XParticle_EnemyFireSmokeGreen@@6B@
0x00473E44,??_7XParticle_PacFireHit@@6B@
0x00473E74,??_7XEnemyFireList@@6B@
0x00473E7C,??_7XEnemyFireBase@@6B@
0x00473EAC,??_7XEnemyFire_CannonUp@@6B@
0x00473EDC,??_7XEnemyFire_Cannon@@6B@
0x00473F0C,??_7XEnemyFire_UFO@@6B@
0x00473F3C,??_7XEnemyFire_Steam@@6B@
0x00473F68,__real@3c482b17
0x00473F6C,__real@3c8efa35
0x00473F70,__real@3d8efa35
0x00473F74,__real@3e4ccccd
0x00473F78,__real@3eaaaaab
0x00473F7C,__real@3f2aaaab
0x00473F80,__real@3f4ccccd
0x00473F84,__real@3f666666
0x00473F88,__real@3f99999a
0x00473F8C,__real@3fc90fdb
0x00473F90,__real@3fcccccd
0x00473F94,__real@40490fdb
0x00473F98,__real@40e00000
0x00473F9C,__real@41000000
0x00473FA0,__real@41400000
0x00473FA4,__real@41880000
0x00473FA8,__real@41900000
0x00473FAC,__real@41a00000
0x00473FB0,__real@41f00000
0x00473FB4,__real@42340000
0x00473FB8,__real@42480000
0x00473FBC,__real@425c0000
0x00473FC0,__real@42700000
0x00473FC4,__real@428c0000
0x00473FC8,__real@42a00000
0x00473FCC,__real@42f00000
0x00473FD0,__real@43160000
0x00473FD4,__real@43200000
0x00473FD8,__real@43480000
0x00473FDC,__real@44480000
0x00473FE0,__real@bfb33333
0x00473FE4,__real@c1a00000
0x00473FEC,??_7XEnemyList@@6B@
0x00473FF4,??_7XEnemyBase@@6B@
0x00474034,??_7XEnemy_Ghost@@6B@
0x00474074,??_7XEnemy_Cube@@6B@
0x004740B4,??_7XEnemy_Kurage@@6B@
0x004740F4,??_7XEnemy_UFO@@6B@
0x00474134,??_7XEnemy_Sesame@@6B@
0x00474174,??_7XNeedleBall@@6B@
0x004741B4,??_7XNeedleBallFast@@6B@
0x004741F4,??_7XNeedleBox@@6B@
0x00474234,??_7XNeedleBoxDrop@@6B@
0x00474274,??_7XGate@@6B@
0x004742B0,__real@3cdbf717
0x004742B4,__real@3d00adfd
0x004742B8,__real@3d32b8c2
0x004742BC,__real@3d37d3fb
0x004742C0,__real@3e0efa35
0x004742C4,__real@3ecccccd
0x004742C8,__real@40400000
0x004742CC,__real@4096cbe4
0x004742D0,__real@41100000
0x004742D4,__real@41700000
0x004742D8,__real@420c0000
0x004742DC,__real@42200000
0x004742E0,__real@423c0000
0x004742E4,__real@42540000
0x004742E8,__real@427c0000
0x004742EC,__real@42820000
0x004742F4,??_7XStatusDisplay@@6B@
0x004742FC,??_7XProcessObject@@6B@
0x0047430C,??_7XGameObject@@6B@
0x00474318,__real@43020000
0x0047431C,__real@43d20000
0x00474320,__real@44098000
0x00474328,??_7XCamera@@6B@
0x00474330,??_7XPreviewMap@@6B@
0x00474338,??_7XMap@@6B@
0x0047433C,__real@3aa02279
0x00474340,__real@3bab92a6
0x00474344,__real@3c0efa35
0x00474348,__real@3cd67750
0x0047434C,__real@3e800000
0x00474350,__real@3f060a92
0x00474354,__real@3f333333
0x00474358,__real@3f490fdb
0x0047435C,__real@3fb5dca8
0x00474360,__real@430c0000
0x00474364,__real@43fa0000
0x00474368,__real@bc0efa35
0x0047436C,__real@bf060a92
0x00474370,__real@c2c80000
0x00474378,??_7XMapObjectList@@6B@
0x00474380,??_7XMapObjectBase@@6B@
0x004743AC,??_7XVolcano@@6B@
0x004743D8,??_7XCannonUp@@6B@
0x00474404,??_7XCannon@@6B@
0x00474430,??_7XPole@@6B@
0x0047445C,??_7XShortPole@@6B@
0x00474488,??_7XTree@@6B@
0x004744B4,??_7XSteam@@6B@
0x004744DC,__real@42b40000
0x004744E0,__real@43070000
0x004744E4,__real@43110000
0x004744EC,??_7XPacFireList@@6B@
0x004744F4,??_7XPacFire@@6B@
0x00474520,??_7XPac@@6B@
0x00474540,__real@40200000
0x00474544,__real@41500000
0x00474548,__real@41c00000
